,K1,K2,tau1,tau2,theta
b1_l,0.0183669056139,0.000463827275718,0.55853347992,0.000250563160275,0.177801386328
b2_l,0.0425496307974,0.32106189617,1.85536367863,37.8532416185,0.0630265394457
b3_l,-0.0576091273437,0.0173228020345,3.57763457882,0.337578504282,0.312716012342
i1_l,1.66050007278,1.70511485121,0.397716989538,0.390619521117,0.167019648813
i2_l,-0.0295133748953,62.4126898755,0.208455819525,30426.7305507,0.235081562015
iii1_l,-0.014275685349,-0.0406173280005,0.236770676361,5.12871673053,0.153325771455
iii3_l,0.0137428947954,0.0114380007789,1.63030346986,0.506851884434,0.179999688387
hg1_l,-0.0557914874235,-0.0417195758718,0.332447976547,0.815246368664,0.166871176285
hg2_l,0.106747384753,0.00941803102944,4.54816835597,0.379745313721,0.139999703247
hg3_l,774.732206821,-0.0181958001527,34328.1079149,0.60170023816,0.268750853233
hg4_l,0.123999724584,0.124190235097,1.24987627319,1.3734481793,-0.462861355902
b1_r,-0.00391173458001,0.0204044638587,0.0313123364,1.96362515316,0.0307606176087
b2_r,0.00180807087505,0.0261639289171,0.0682077525008,1.95814269494,0.398858701692
b3_r,0.0578968795711,0.0333376138495,2.39984636932,2.40026132868,-0.460581257396
i1_r,12.1315726083,12.0280621655,0.847967556979,0.837325442697,0.0738285402066
i2_r,0.299603125141,-0.0842135637373,4.41355081354,4.41269105744,0.280658216379
iii1_r,-0.00726133688417,-0.0181830576659,0.0362271439881,6.32560317063,0.151084179051
iii3_r,0.0148998486079,0.0578810931293,0.0443913119602,1.03054641473,0.13433925022
hg1_r,-0.0178996235708,-0.0583417263104,0.259855942269,2.45039726857,0.132487673091
hg2_r,0.581832972496,0.512152945311,1.06638402993,0.938804907589,0.0191548354572
hg3_r,0.545491667488,0.53151257763,3.03390783273,2.8306144427,-0.232157228013
hg4_r,-0.0116182774937,0.0151077520446,3.76640435268,0.323669104939,0.0729504394328
