,p_value,t_value
b1_l,2.15809332689e-08,-5.7289073134
b2_l,4.37772326594e-143,43.089328954
b3_l,8.29504277897e-169,-52.2711614533
i1_l,5.63712244941e-137,-41.0883564465
i2_l,2.16009600895e-161,-49.4896503476
iii1_l,1.59120027403e-120,-35.9977591303
iii3_l,4.67990990169e-183,57.9554534419
hg1_l,1.53124530178e-126,-37.8119978622
hg2_l,6.77945468556e-105,-31.5137980869
hg3_l,1.80084360118e-70,-22.5410584057
hg4_l,1.25796610286e-101,-30.6138987173
b1_r,9.00863701649e-29,12.1846630546
b2_r,1.80466046076e-99,-30.026598906
b3_r,2.51367480329e-109,32.7536135403
i1_r,3.57832706259e-22,-10.3664893664
i2_r,3.05686684221e-12,-7.22641106636
iii1_r,2.41774627474e-105,-31.6380368125
iii3_r,5.37023074274e-141,-42.3981009417
hg1_r,4.16767767828e-65,-21.2178027914
hg2_r,6.75406602523e-104,-31.2376323577
hg3_r,3.18105154108e-130,38.9488619345
hg4_r,2.204277904e-159,48.7557611927
